等级,位置,类型,出处声明,引文,命中文献,命中章节,原文,匹配度,问题,建议,上下文
A,body[301],body,道德经,众人熙熙，如享太牢，如春登台,道德经（王弼注）,第二十章,众人熙熙，如享太牢，如春登台,100.0,,,--	‌ ⏎ 17“〖众人熙熙，如享太牢，如春登台〗”该如何理解？ ⏎ 爸爸：幺弟，《道德经》里面“众人熙熙，如享太牢，如春登台”该如何理解？【作者解读】幺弟：爸爸，这句话从字面意思看很好理解。「众人熙熙」就是说，很多人在一起的那种很热闹的场面，一个跟着一个，做一个快乐的事情。也是说很多人自己没有判断力，喜欢跟风做事情。
A,body[303],body,内经,五谷为养，五果为助，五畜为益，五菜为充，气味合而服之，以补精益气,黄帝内经,,五谷为养(2)，五果为助(3)，五畜为益(4)，五菜为充(5)，气味合而服之，以补精益气,100.0,,,没有思考力，看到别人做什么，自己就做什么，一年重复一年。像夏天半夜吃烧烤一样的，明晓得吃了不好，朋友一喊就跟着去吃了，为了图当时开心，愣是不管后果。《内经》中也说了，“饮食自倍，肠胃乃伤”，还有一句“〖五谷为养，五果为助，五畜为益，五菜为充，气味合而服之，以补精益气〗”。这些道理大家都晓得，但大多数人还是听不进去，身体不好了又会怪天怪地的。为什么《道德经》一定要反复看？因为反复的看了，才能用经书内容不断提醒我们，我们每天做的事到底符不符合道。我们就不会盲目跟风了，【作者解读】这些道理大家都晓得，但大多数人还是听不进去，身体不好了又会怪天怪地的。
A,body[303],body,内经,饮食自倍，肠胃乃伤,黄帝内经,,饮食自倍，肠胃乃伤,100.0,,,句话里老子告诉我们，现在很多人并没有思考力，看到别人做什么，自己就做什么，一年重复一年。像夏天半夜吃烧烤一样的，明晓得吃了不好，朋友一喊就跟着去吃了，为了图当时开心，愣是不管后果。《内经》中也说了，“〖饮食自倍，肠胃乃伤〗”，还有一句“五谷为养，五果为助，五畜为益，五菜为充，气味合而服之，以补精益气”。这些道理大家都晓得，但大多数人还是听不进去，身体不好了又会怪天怪地的。为什么《道德经》一定要反复看？因为反复的看了，才【作者解读】这些道理大家都晓得，但大多数人还是听不进去，身体不好了又会怪天怪地的。
A,body[307],body,黄帝内经・素问・痹论,饮食自倍，肠胃乃伤,黄帝内经,,饮食自倍，肠胃乃伤,100.0,,,-- ⏎ --	2、“〖饮食自倍，肠胃乃伤〗”，出自《黄帝内经・素问・痹论》。饮食：指日常摄入的饮食物；自倍：“自” 指自身、自行，“倍” 核心指 “过量、加倍”，引申为饮食无节制、暴饮暴食，也可理解为违背饮食规律；肠胃：此处并非单纯指解剖学上【作者解读】出自《黄帝内经・素问・痹论》。作者逐词解释并总结其养生准则。
A,body[310],body,素问・脏气法时论,五谷为养，五果为助，五畜为益，五菜为充，气味合而服之，以补精益气,黄帝内经,,五谷为养(2)，五果为助(3)，五畜为益(4)，五菜为充(5)，气味合而服之，以补精益气,100.0,,,-- ⏎ --	3、“五谷为养，五菜为充”，出自《素问・脏气法时论》，原文是：〖五谷为养，五果为助，五畜为益，五菜为充，气味合而服之，以补精益气〗。自倍：食量加倍，暴饮暴食、饮食过量。肠胃：泛指脾胃消化系统。伤：损伤、功能失常。“饮食自倍，肠胃乃伤”意思是：饮食过量、暴饮暴食，就会损伤脾胃的消化功能。五谷：稻、黍、稷、麦、菽（泛指谷物主食）。养【作者解读】出自《素问・脏气法时论》。作者引用原文并解释其含义。
A,body[314],body,黄帝内经·素问·生气通天论,阳气者，烦劳则张，精绝,黄帝内经,,阳气者，烦劳则张(1)，精绝,100.0,,,不好了的时候，是不是它在提醒我们？让我们要多休息，不要这么劳累。并且借这次身体出问题，好好休息一下，心里把它当好事儿来想，是不是可以避免以后生更大的疾病呢？所以生病并不一定都是坏事。《内经》里面说，“〖阳气者，烦劳则张，精绝〗”，提醒我们人如果过度劳累，阳气就会耗损掉。 ⏎ “福兮祸所依”也是这个道理，上次我哥哥在路边捡了一个钱包，还给别人了，那个人还给了他五块钱感谢费，我哥哥硬是高兴昏了【作者解读】出自《黄帝内经·素问·生气通天论》。作者引用以说明过度劳累的危害。
A,note[317],note,道德经,祸兮，福之所倚；福兮，祸之所伏,道德经（王弼注）,第五十八章,祸兮福之所倚，福兮祸之所伏,100.0,,,注释： ⏎ --	1、“祸兮福所倚，福兮祸之所伏”，出自老子《道德经》第五十八章（通行本），原文为：“其政闷闷，其民淳淳；其政察察，其民缺缺。〖祸兮，福之所倚；福兮，祸之所伏〗。孰知其极？其无正也。正复为奇，善复为妖。人之迷，其日固久。”祸：指灾祸、祸患，包括人生中的挫折、困境、不利境遇等；兮：文言语气助词，无实际意义，用于舒缓语气，增强语句的韵律感；福：指福分、吉祥，包括【作者解读】出自老子《道德经》第五十八章。作者逐词解释并总结其哲学含义。
A,body[323],body,黄帝内经·素问·上古天真论,恬惔虚无，真气从之，精神内守,黄帝内经,,恬惔虚无(3)，真气从之，精神内守,100.0,,,你看婴儿和大人有什么不同？你找到这个不同，然后向他学习，你一下子就懂了。婴儿就是外表很柔弱，但是里面生机勃勃，一天一个样，不管学习什么都学的快得很。为啥婴儿这么厉害？我们引用《内经》里的一句话来理解“〖恬惔虚无，真气从之，精神内守〗”。婴儿内心清净、没有杂念，这样就保持着真气。我给你举个例子，你一下子就明白了：身体就好像池塘里面的水，欲望杂念就是石头。只要我们不往这个池塘里丢这个石头，这个池塘水面就会平静，没有波纹，这个就是至柔【作者解读】出自《黄帝内经·素问·上古天真论》。
A,body[331],body,道德经,致虚极，守静笃，万物并作，吾以观复,道德经（王弼注）,第十六章,致虚极，守静笃。言致虚，物之极笃；守静，物之真正也。万物并作，动作生长。吾以观复。以虚静,86.0,,,--	‌ ⏎ 20“〖致虚极，守静笃，万物并作，吾以观复〗。”该如何理解？ ⏎ 爸爸：幺弟，《道德经》里“致虚极，守静笃，万物并作，吾以观复。”这句话你是如何理解的？【作者解读】出自《道德经》第十六章。
A,note[336],note,道德经,致虚极，守静笃，万物并作，吾以观复,道德经（王弼注）,第十六章,致虚极，守静笃。言致虚，物之极笃；守静，物之真正也。万物并作，动作生长。吾以观复。以虚静,86.0,,,注释： ⏎ 1)	“〖致虚极，守静笃，万物并作，吾以观复〗”，出自老子《道德经》第十六章（通行本），原文为：“致虚极，守静笃。万物并作，吾以观复。夫物芸芸，各复归其根。归根曰静，是谓复命，复命曰常，知常曰明。不知常，妄作，凶。”致虚极：“致” 指推致、达到，【作者解读】出自老子《道德经》第十六章，原文为“致虚极，守静笃。万物并作，吾以观复”，此处作者化用为“物以观复”。
A,body[338],body,道德经,多言数穷，不如守中,道德经（王弼注）,第五章,多言数穷，不如守中,100.0,,,-- ⏎ 21 为什么说“〖多言数穷，不如守中〗”？ ⏎ 爸爸：幺弟，《道德经》里面“多言数穷，不如守中”，这句话是什么意思？【作者解读】出自老子《道德经》第五章。
A,body[341],body,周易·中孚卦,鸣鹤在阴，其子和之,周易（南怀瑾译注）,第十一章,鸣鹤在阴，其子和之,100.0,,,况下，他说的再多也没什么用，别人肯定也听不进去。自己少说话，让别人多说话，别人也高兴，还能听出别人有什么需求。假如每个人都这么做，肯定就没有矛盾了，想不发财都难，这样好安逸嘛！《易经》里面中孚卦说，“〖鸣鹤在阴，其子和之〗”，就是说只要真诚，自然会得到别人共鸣，不需要说很多话。 ⏎ 再比如，有的父母也是这个样子，天天看到娃儿看手机，嘴巴都说破天了。他自己看手机就不说，还看的哈哈大笑的。【作者解读】出自《周易·中孚卦》九二爻辞。
A,note[344],note,道德经,多言数穷，不如守中,道德经（王弼注）,第五章,多言数穷，不如守中,100.0,,,注释： ⏎ 1)	“〖多言数穷，不如守中〗”，出自老子《道德经》第五章（通行本），原文为：“天地 ⏎ --	不仁，以万物为刍狗；圣人不仁，以百姓为刍狗。天地之间，其犹橐龠乎？虚而不屈，动而愈出。多言数穷，不如【作者解读】多言：并非单纯指 “说话多”，更深层指妄言妄语、政令繁杂、急于争辩、强行干预他人或事物，也包括过度表达、言语不节制，违背自然与处世规律 ；数穷：“数” 指频繁、加速，“穷” 指困厄、穷尽、无路可走，意为过度多言、妄言，终将加速陷入困厄，让自己走向穷途 ；守中：“守” 指坚守、保持，“中” 并非简单的 “中间”，而是指内心的中正、平和、虚静与分寸，不偏不倚、不极端、不偏执，既不妄为多言，也不刻意沉默，顺应自然之道。意思是：过度妄言、言语不节制，或是政令繁杂、强行干预，终将加速陷入困厄；与其如此，不如坚守内心的中正虚静，把握处世分寸，不妄言、不妄为，顺应事物的自然规律。
A,note[349],note,周易,鸣鹤在阴，其子和之,周易（南怀瑾译注）,第十一章,鸣鹤在阴，其子和之,100.0,,,、果决，不拖沓、不怠惰，强调行动的主动性与高效性；于行：即 “在行动方面”。意思是：君子在言语方面要谨慎克制、不妄言空谈，在行动方面要敏捷勤勉、果断务实。 ⏎ 4、“〖鸣鹤在阴，其子和之〗”源于《周易》，“鸣鹤在阴”描绘了鹤在沼泽中鸣叫，幼鹤与其应和的场景，象征着父子或人际间的诚信共鸣。古人认为鹤是高洁的，它的鸣声清远，常常被比喻为君子之德‌。这是一种很美的景象，融合了自然与人为的和谐
A,body[351],body,道德经,和大怨，必有余怨,道德经（王弼注）,第七十九章,和大怨，必有余怨,100.0,,,‌‌ ⏎ 22“〖和大怨，必有余怨〗”该如何理解？ ⏎ 爸爸：幺弟，《道德经》里面“和大怨，必有余怨”你是如何理解的？【作者解读】和大怨：“和” 指调和、和解、平息，“大怨” 指深重的怨恨、激烈的矛盾，既可以是人与人之间结下的深仇大恨，也可指统治者与百姓之间积累的尖锐矛盾；必有余怨：“必” 指必然、必定，“余怨” 指调和之后仍残留的怨恨、未消解的隔阂，这种怨恨往往深藏心底，难以彻底根除。意思是：调和深重的怨恨，必然会留下残余的怨恨，这样的做法终究难以称得上是完善的善举。
A,body[361],body,论语,君子谋道不谋食,论语（杨伯峻译注）,十二、本书引用诸家，除仲父及师友称字并称“先生”外，余皆称名。,君子谋道不谋食,100.0,,,有利，所以所有人都会帮你；所有人都帮助你了，你不成才也要成才。反之，如果你违背天道，即使你再努力，你有通天的才能，从再好的大学毕业，犹如逆势而行，你也成不了才，而且还会过得很辛苦。这和《论语》说的，“〖君子谋道不谋食〗”是一个意思。 ⏎ 注释：【作者解读】作者引用《论语》原文，并解释“谋道”指专注于儒家的道德准则与人生真理，“不谋食”指不将谋求衣食温饱作为核心目标。
A,note[366],note,道德经,道生之，德畜之，物形之，势成之,道德经（王弼注）,第五十一章,道生之，德畜之，物形之，势成之,100.0,,,24 该如何理解“道生之，德畜之？” ⏎ 爸爸：幺弟，《道德经》里“〖道生之，德畜之，物形之，势成之〗”这句该如何理解？ ⏎ 幺弟：爸爸，这句话表面的意思就是万物都是“道”生的。德行滋养万物，然后形成这个“物”的性格，周围环境对物也影响着。比如现在的小孩子，父母把他生【作者解读】作者通过父子对话，以养育孩子为例解释此句：道生之如父母生育，德畜之如爱和身教，物形之如性格形成，势成之如环境影响。
A,note[367],note,,生而不有，为而不恃，长而不宰,道德经（王弼注）,第十章,生而不有，为而不恃，长而不宰,100.0,,,像春天小草发芽，不需要人工去指挥，它自己就会发芽是一个道理。“德蓄之”这个是道德体现，用德去滋养它，而不是占有它。孩子长大以后，他们都有自己的人生轨迹，我们该放手就放手，父母不能强行控制，真正的做到“〖生而不有，为而不恃，长而不宰〗”，像庄子说的“相忘于江湖一样”，让鱼在水里游却感觉不到水的存在。 ⏎ 有的父母不读《道德经》，自己也没有德和爱。自己都没能做到以身作则这些，每天都吼的很大声，有什么【作者解读】作者引用此句说明父母应顺应孩子自然成长，不占有、不恃功、不主宰。
A,note[367],note,,相忘于江湖,道德经（王弼注）,第十八章,相忘于江湖,100.0,,,"发芽是一个道理。“德蓄之”这个是道德体现，用德去滋养它，而不是占有它。孩子长大以后，他们都有自己的人生轨迹，我们该放手就放手，父母不能强行控制，真正的做到“生而不有，为而不恃，长而不宰”，像庄子说的“〖相忘于江湖〗一样”，让鱼在水里游却感觉不到水的存在。 ⏎ 有的父母不读《道德经》，自己也没有德和爱。自己都没能做到以身作则这些，每天都吼的很大声，有什么用？孩子就认为,“你自己都【作者解读】作者引用庄子典故，比喻父母与孩子之间应如鱼在水中般自然、不刻意干预。"
A,note[368],note,论语·阳货,性相近也，习相远也,论语（杨伯峻译注）,十二、本书引用诸家，除仲父及师友称字并称“先生”外，余皆称名。,性相近也，习相远也,100.0,,,弥补。就好像“孟母三迁”一样，像孔子说的“与善人居，像入兰芝之室，而久闻其香”，又像《管子·牧民》中说的“仓廪实则知礼节，衣食足则知荣辱”。总之就是给娃儿提供一个好的物质环境，好的品德自然就形成了。“〖性相近也，习相远也〗”也和不同环境影响有关，只要父母都能晓得至“兰芝之室”这个道理，孩子则更有可能“蹊成于乾坤之间”。 ⏎ 注释：【作者解读】出自《论语·阳货》。
A,note[370],note,道德经,道生之，德畜之，物形之，势成之,道德经（王弼注）,第五十一章,道生之，德畜之，物形之，势成之,100.0,,,注释： ⏎ 1)	“〖道生之，德畜之，物形之，势成之〗”出自《道德经》第五十一章。道生之，“道”作为宇宙本源，是万物生成的原始动力，它无形无象却蕴含着无限的生命力，如同种子蕴含生长的潜能‌。德畜之，“德”是道的外化表现，指万物依循本性和生存发展规律获得能【作者解读】出自《道德经》第五十一章。
A,note[382],note,论语·阳货篇,性相近也，习相远也,论语（杨伯峻译注）,十二、本书引用诸家，除仲父及师友称字并称“先生”外，余皆称名。,性相近也，习相远也,100.0,,,-- ⏎ 7、“〖性相近也，习相远也〗”出自《论语·阳货篇》。“性相近也”‌：指人的先天本性具有普遍相似性；‌“习相远也”‌：强调后天环境对个体发展的重要影响作用，导致人与人之间的差异越来越大。 ⏎ --【作者解读】“性相近也”：指人的先天本性具有普遍相似性；“习相远也”：强调后天环境对个体发展的重要影响作用，导致人与人之间的差异越来越大。
A,body[387],body,易经,天下莫柔弱于水，而攻坚强者莫之能胜，其无以易之,道德经（王弼注）,第七十八章,天下莫柔弱于水，而攻坚强者莫之能胜，其无以易之,100.0,,,25 柔弱真的能胜刚强吗？ ⏎ 爸爸：幺弟，《道德经》里“〖天下莫柔弱于水，而攻坚强者莫之能胜，其无以易之〗。”该怎么理解，柔弱真的能胜刚强吗？ ⏎ 幺弟：爸爸，这句话就是说，水看起来柔弱，却是世界上最强的东西，和《易经》中的阴阳是一个道理。水柔弱到极限了，就是最硬的东西了【作者解读】幺弟：爸爸，这句话就是说，水看起来柔弱，却是世界上最强的东西，和《易经》中的阴阳是一个道理。水柔弱到极限了，就是最硬的东西了。
A,body[394],body,道德经,知人者智，自知者明，胜人者有力，自胜者强,道德经（王弼注）,第三十三章,知人者智，自知者明。知人者，智而已矣，未若自知者超智之上也。胜人者有力，自胜者强。胜人者，有力而已矣,86.0,,,"26 “知人者智，自知者明”该如何理解？ ⏎ 爸爸：幺弟，《道德经》里面“〖知人者智，自知者明，胜人者有力，自胜者强〗”该如何理解？ ⏎ 幺弟：爸爸，老子这句话说的就是，不要总是用自己的眼睛去看别人,和别人去争,要把眼睛盯到自己身上，看清自己，然后去超越自己,这个才是真正的赢家。【作者解读】幺弟：爸爸，老子这句话说的就是，不要总是用自己的眼睛去看别人,和别人去争,要把眼睛盯到自己身上，看清自己，然后去超越自己,这个才是真正的赢家。"
A,note[399],note,道德经,知人者智，自知者明；胜人者有力，自胜者强,道德经（王弼注）,第三十三章,知人者智，自知者明。知人者，智而已矣，未若自知者超智之上也。胜人者有力，自胜者强。胜人者，有力而已矣,86.0,,,注释： ⏎ --	1、“〖知人者智，自知者明；胜人者有力，自胜者强〗”，出自老子《道德经》第三十三章（通行本），原文为：“知人者智，自知者明。胜人者有力，自胜者强。知足者富，强行者有志。不失其所者久，死而不亡者寿。”知人者智：“知人” 指了解他人、洞察他人的品行、心性【作者解读】出自老子《道德经》第三十三章（通行本），原文为：“知人者智，自知者明。胜人者有力，自胜者强。知足者富，强行者有志。不失其所者久，死而不亡者寿。”
A,note[400],note,道德经,不尚贤，使民不争,道德经（王弼注）,第三章,不尚贤，使民不争,100.0,,,正的强者。整句意思是：能够了解他人的人，是有智慧的；能够清醒认识自己的人，才是真正高明的；能够战胜他人的人，是有力量的；能够战胜自我的人，才是真正的强者。 ⏎ 27“〖不尚贤，使民不争〗”是不是反对进步呢？ ⏎ 爸爸：幺弟，我问一下《道德经》里“不尚贤，使民不争”，这话是不是说明老子不鼓励追求卓越，反对进步呢？【作者解读】出自老子《道德经》第三章。
A,note[404],note,道德经,不尚贤，使民不争；不贵难得之货，使民不为盗；不见可欲，使民心不乱。是以圣人之治，虚其心，实其腹，弱其志，强其骨。常使民无知无欲，使夫智者不敢为也。为无为，则无不治。,道德经（王弼注）,第三章,不尚贤，使民不争；不贵难得之货，使民不为盗；不见可欲，使民心不乱。贤，犹能也。尚者，嘉之名也。贵者，隆之称也。唯能是任，尚也曷为；唯用是施，贵之何为。尚贤显名，荣过其任，为而常校能相射。贵货过用，贪者竞趣，穿窬探箧，没命而盗，故可欲不见，则心无所乱也。是以圣人之治，虚其心，实其腹，心怀智而腹怀食，虚有智而实无知也。弱其志，强其骨。骨无知以干，志生事以乱，心虚则志弱也。常使民无知无欲。守其真也。使夫智者不敢,86.0,,,注释： ⏎ --	1、“不尚贤，使民不争”，出自老子《道德经》第三章（通行本）。原文为：“〖不尚贤，使民不争；不贵难得之货，使民不为盗；不见可欲，使民心不乱。是以圣人之治，虚其心，实其腹，弱其志，强其骨。常使民无知无欲，使夫智者不敢为也。为无为，则无不治。〗”不尚贤：“尚” 指推崇、尊崇、标榜，“贤” 此处指世俗所推崇的 “贤能”，具体指有德行、有才能且被赋予虚名、利禄的人；中华书局校释明确，“不尚贤” 并非否定贤能、摒弃贤才，而是不刻意抬高贤能的名位、【作者解读】作者对“不尚贤”“使民不争”等词句进行逐词解释，并引用中华书局校释说明“不尚贤”并非否定贤能。
A,note[405],note,道德经,圣人不病，以其病病，是以不病,道德经（王弼注）,第七十一章,圣人不病，以其病病，是以不病,100.0,,,、内卷，回归淳朴本真的状态。整句意思是：不刻意推崇、标榜世俗所认为的贤能之人，不赋予其特殊的名位与利禄，就能让百姓不再为争夺这些虚名实利而互相竞争、倾轧。 ⏎ 28“〖圣人不病，以其病病，是以不病〗”你是如何理解的？ ⏎ 爸爸：幺弟，《道德经》里“圣人不病，以其病病，是以不病”这句，该如何理解呢？【作者解读】作者通过父子对话形式，对这句话进行通俗解释，强调圣人正视小问题以避免大问题。
A,note[411],note,道德经,知不知上，不知知病。夫唯病病，是以不病。圣人不病，以其病病，是以不病,道德经（王弼注）,第七十一章,"知不知上，不知知病。不知知之不足任则病也。夫唯病病，是以不病。圣人不病，以其病病，是以不病。





第七十二章


民不畏威，则大威至。无狎其所居，无厌其所生。清静无为谓之居，谦后",86.0,,,注释: ⏎ 1、“圣人不病，以其病病，是以不病”出自《道德经》第七十一章。“通行本原文为：‘〖知不知上，不知知病。夫唯病病，是以不病。圣人不病，以其病病，是以不病〗。‌“病病”‌：前面的“病”为动词，是“以……为病”的意思，后的病字为名词，指认知缺陷。意思是，把认知缺陷、自以为是和自身不足等问题当成是一种需要修正的病‌。‌“不病”‌：指圣人因为正视自身局限性和不【作者解读】作者对“病病”“不病”进行词义解释。
A,body[413],body,道德经,大象无形,道德经（王弼注）,第四十一章,大象无形,100.0,,,-- ⏎ 29“〖大象无形〗”你是怎么理解的？ ⏎ 爸爸：幺弟，我想问一下你是如何理解《道德经》里说的“大象无形”的？【作者解读】作者通过父子对话，将“大象无形”解释为看问题要关注背后无形的规律或真相。
A,note[417],note,道德经,大象无形,道德经（王弼注）,第四十一章,大象无形,100.0,,,注释: ⏎ 1)	“〖大象无形〗”，出自老子《道德经》第四十一章（通行本）。原文为：“......大白若辱，大方无隅，大器晚成，大音希声，大象无形。......”大象：“大” 并非单纯指 “体积大”，而是指至高、至广、极致的存在，此【作者解读】出自老子《道德经》第四十一章。作者详细解释了“大象”和“无形”的含义，并指出这句话以“大象无形”为喻，传递道家对“道”的核心认知。
A,body[422],body,道德经,视之不见，名曰夷；听之不闻，名曰希；搏之不得，名曰微。三者不可致诘，故混而为一。,道德经（王弼注）,第十四章,视之不见名曰夷，听之不闻名曰希，搏之不得名曰微。此三者，不可致诘，故混而为,94.1,,,爸爸：幺弟，你认为《道德经》哪一句是最难理解的？ ⏎ 幺弟：爸爸，我认为《道德经》最难的一句就是“〖视之不见，名曰夷；听之不闻，名曰希；搏之不得，名曰微。三者不可致诘，故混而为一。〗”。老子讲，真正的道，就是听也听不见，看也看不到，摸也摸不到的，但是确实是真实存在的，超越了我们的认知能力，很多人读到这句话就是理解不了。 ⏎ 爸爸：道，到底是什么东【作者解读】出自《道德经》。幺弟引用此句说明其难以理解，并解释其含义。
A,note[427],note,道德经,视之不见，名曰夷；听之不闻，名曰希；搏之不得，名曰微。此三者不可致诘，故混而为一。,道德经（王弼注）,第十四章,视之不见名曰夷，听之不闻名曰希，搏之不得名曰微。此三者，不可致诘，故混而为一,100.0,,,注释： ⏎ --	1、“〖视之不见，名曰夷；听之不闻，名曰希；搏之不得，名曰微。此三者不可致诘，故混而为一。〗”出自老子《道德经》第十四章（通行本）。视之不见，名曰夷：“视” 指用眼睛观察，“之” 指代 “道”，“不见” 指无法通过视觉捕捉；“夷” 意为无色、无形、平坦无迹，此处特指 “道” 无具体色形，无法【作者解读】出自老子《道德经》第十四章（通行本）。
A,body[432],body,论语·学而,其为人也孝弟，而好犯上者，鲜矣,论语（杨伯峻译注）,十二、本书引用诸家，除仲父及师友称字并称“先生”外，余皆称名。,其为人也孝弟⑵，而好犯⑶上者，鲜⑷矣,100.0,,,情怀”，说说你是怎么理解家国情怀的？ ⏎ 幺弟：爸爸，要搞懂什么是家国情怀，就要搞懂家和国有什么关系。家就是最小的国，国就是千万个家，爱家就是爱国。《论语》里面说的“〖其为人也孝弟，而好犯上者，鲜矣〗”。对家人好，也是爱国的一方面，家国情怀就是上下共生的关系。关心自己家人，爱自己家人，爱自己的孩子，用心把孩子培养好了，这就是爱国。孟子所说，“天下之本在国，国之本在家，家之本在身”也是这个意思。《大【作者解读】出自《论语·学而》。
A,body[432],body,孟子,天下之本在国，国之本在家，家之本在身,孟子（杨伯峻译注）,,天下之本在国，国之本在家①，家之本在身,100.0,,,是爱国。《论语》里面说的“其为人也孝弟，而好犯上者，鲜矣”。对家人好，也是爱国的一方面，家国情怀就是上下共生的关系。关心自己家人，爱自己家人，爱自己的孩子，用心把孩子培养好了，这就是爱国。孟子所说，“〖天下之本在国，国之本在家，家之本在身〗”也是这个意思。《大学》里面说的“欲治其国者，先齐其家......”也是一个道理。只要每个家庭都好了，我们国家肯定越来越好了，这就是“大美不言”。比如那些生了孩子又不养孩子的人，就破坏小家的稳定了，他【作者解读】出自《孟子》。
A,body[432],body,大学,欲治其国者，先齐其家......,大学中庸,第一章,欲治其国者，先齐 [22] 其家,100.0,,,也是爱国的一方面，家国情怀就是上下共生的关系。关心自己家人，爱自己家人，爱自己的孩子，用心把孩子培养好了，这就是爱国。孟子所说，“天下之本在国，国之本在家，家之本在身”也是这个意思。《大学》里面说的“〖欲治其国者，先齐其家......〗”也是一个道理。只要每个家庭都好了，我们国家肯定越来越好了，这就是“大美不言”。比如那些生了孩子又不养孩子的人，就破坏小家的稳定了，他们就是不爱国，孩子从小没有父母抚养和教育，养成很多坏习惯了，大了肯【作者解读】出自《大学》。
A,body[432],body,孙子兵法,道者，令民与上同意也,孙子兵法（陈曦译注）,,道者，令民与上同意也,100.0,,,比如那些生了孩子又不养孩子的人，就破坏小家的稳定了，他们就是不爱国，孩子从小没有父母抚养和教育，养成很多坏习惯了，大了肯定给社会造成很多的危害，这就是给国家添乱。家国情怀也和《孙子兵法》上说的一样，“〖道者，令民与上同意也〗”。比如家干净了，城市才干净；又比如城市安全了，国家才安全。家国情怀就藏在对家庭的责任，对工作的责任里面。我们国家每个家庭都安居乐业了，我们国家自然就强大了。很多人觉得“我是个普通人，能力又小的很，没【作者解读】出自《孙子兵法》。
A,body[433],body,论语·学而,其为人也孝弟，而好犯上者，鲜矣；不好犯上，而好作乱者，未之有也。,论语（杨伯峻译注）,十二、本书引用诸家，除仲父及师友称字并称“先生”外，余皆称名。,其为人也孝弟⑵，而好犯⑶上者，鲜⑷矣；不好犯上，而好作乱者，未之有也,100.0,,,"搞懂，爱家就是爱国。能干的人为国家服务，能力小的人就爱自己家，爱自己工作都是一样的爱国。 ⏎ --	1、""其为人也孝弟，而好犯上者，鲜矣”出自《论语·学而》。原文为""〖其为人也孝弟，而好犯上者，鲜矣；不好犯上，而好作乱者，未之有也。〗‌孝悌‌：孝指敬父母，悌指尊兄长，孝悌是儒家伦理的基础。‌犯上‌：是挑战权威，破坏等级秩序。‌鲜矣‌：指极少发生，很少有。孔子通过递进式推理来阐明：如果一个人在家尊敬父母和兄长，那他会犯上作乱的可能性【作者解读】出自《论语·学而》。"
A,note[435],note,孟子・离娄上,天下之本在国，国之本在家，家之本在身,孟子（杨伯峻译注）,,天下之本在国，国之本在家①，家之本在身,100.0,,,-- ⏎ 2、“〖天下之本在国，国之本在家，家之本在身〗”，出自 《孟子・离娄上》第五章。天下：此处指古代的天下格局，即整个华夏大地、诸侯疆域所构成的整体，并非单纯指 “全世界”，核心是涵盖所有诸侯国与民众的共同体；本：根本、根基，强调事物赖以存在的核心基【作者解读】出自《孟子・离娄上》第五章。作者随后对“天下”“本”“国”“家”“身”等词进行了详细注释，并指出这句话传递了儒家“家国同构”的核心逻辑。
A,body[436],body,礼记・大学,欲治其国者，先齐其家,大学中庸,第一章,欲治其国者，先齐 [22] 其家,100.0,,,—— 天下、国、家、个人并非孤立存在，而是层层依存、相互关联的整体，个人修身是根基，只有个人修养到位，才能打理好家庭、治理好国家，最终实现天下太平。 ⏎ --	3、“〖欲治其国者，先齐其家〗”，出自《礼记・大学》（第一章・经）。原文为：“古之欲明明德于天下者，先治其国；欲治其国者，先齐其家；欲齐其家者，先修其身；欲修其身者，先正其心；欲正其心者，先诚其意；欲诚其意者，先致其知；致知在格物【作者解读】出自《礼记・大学》（第一章・经）。作者随后对“治其国”“齐其家”“齐”“家”“明明德”等词进行了解释。
A,body[438],body,孙子兵法・计篇,道者，令民与上同意也,孙子兵法（陈曦译注）,,道者，令民与上同意也,100.0,,,齐、和睦。家：先秦指卿大夫的家族与封地，后泛指家庭。明明德：彰明、弘扬光明正大的德行。整句意思是：要想治理好自己的国家，必须先整治管理好自己的家庭。 ⏎ --	4、“〖道者，令民与上同意也〗”，出自《孙子兵法・计篇》。原文：道者，令民与上同意也，故可以与之死，可以与之生，而不畏危。道：非玄奥之道，特指政治清明、执政有道，是 “五事” 之首，强调上下同心的政治基础。同意：意志同一、同心同德【作者解读】出自《孙子兵法・计篇》。作者随后对“道”“同意”等词进行了解释。
A,note[446],note,礼记·大学,自天子以至于庶人，壹是皆以修身为本,大学中庸,第一章,自天子 [34] 以至于庶人 [35] ，壹是 [36] 皆以修身为本,100.0,,,想 —— 美与丑、善与不善并非绝对孤立的存在，而是相对而生、相互依存的，没有美的界定，就没有丑的认知；没有善的标准，就没有不善的判断，二者互为存在的前提。 ⏎ 2、“〖自天子以至于庶人，壹是皆以修身为本〗”出自《礼记·大学》第一章。原文如下：古之欲明明德于天下者，先治其国；欲治其国者，先齐其家；欲齐其家者，先修其身……‌自天子以至于庶人，是皆以修身为本。其本乱而末治者，否矣。其所厚者薄，而其所薄者厚，【作者解读】作者引用《礼记·大学》此句，并解释其涵盖所有阶层、以修身为根本的儒家思想，提及朱熹注与八条目。
